# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: GRUPO GUANABARA | Sites
# Propriedade: Blog Guanabara
# ----------------------------------------
# 
# Origem / mídia da sessão corresponde exatamente a google / organic, bing / organic, chatgpt.com / (not set), chatgpt.com / referral, duckduckgo / organic, ecosia.org / organic, copilot.com / referral, yahoo / organic
# Data de início: 20250101
# Data de término: 20260524
Título da página e classe da tela,Página de destino + string de consulta,Visualizações,Sessões,Novos usuários,Usuários recorrentes,Taxa de novos usuários,Taxa de engajamento,Taxa de rejeição,Tempo médio de engajamento por usuário ativo
Bora Já! Até 70% de desconto para rotas selecionadas,/bora-ja-pra-teresina/,1,1,0,0,0,1,0,7
Bora Já? Conheça Teresina com até 70% de desconto!,/bora-ja-pra-teresina/,1,1,1,0,1,1,0,14
Caribe Brasileiro de Ônibus: Guia de Destinos e Passagens | Blog Viaje Guanabara,/as-maravilhas-de-fortaleza-na-alta-temporada/,1,1,0,0,0,1,0,183
Caribe Brasileiro de Ônibus: Guia de Destinos e Passagens | Blog Viaje Guanabara,/category/destinos/,1,1,0,0,0,1,0,25
Caribe Brasileiro de Ônibus: Guia de Destinos e Passagens | Blog Viaje Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,46
Caribe Brasileiro de Ônibus: Guia de Destinos e Passagens | Blog Viaje Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,18
Começou a temporada de avistamento de cetáceos no litoral de SP,/avistamento-de-cetaceos-sp/,1,1,1,0,1,1,0,34
Como aumentar seus pontos no Viva Fidelidade em dezembro,/aumente-pontos-no-viva-fidelidade/,1,1,1,0,1,1,0,2
Comprar passagem de ônibus online: vantagens,/novidades-guanabara-parceria-rede-accor-e-modalidade-cama/,1,1,0,0,0,1,0,97
Comprar passagem de ônibus online: vantagens,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,2
Conheça o 1º restaurante oficial do Bob Esponja (do mundo!),/investimento-nova-frota-onibus-leito-cama-guanabara/,1,1,0,0,0,1,0,49
Corpus Christi é feriado ou ponto facultativo? Aproveite para viajar!,/10-curiosidades-incriveis-sobre-fortaleza/,1,1,0,0,0,1,0,137
Círio de Nazaré 2025: Como chegar com a Guanabara - Blog Guanabara,/cirio-de-nazare-2025-como-chegar-com-a-guanabara/,1,1,1,0,1,1,0,13
Ele canta??? Will Smith é anunciado como atração do Rock in Rio X,/10-curiosidades-incriveis-sobre-fortaleza/,1,1,0,0,0,1,0,0
Fortaleza: o que fazer e como chegar com a Viaje Guanabara,/,1,1,0,0,0,1,0,0
Guanabara alerta: Caronas e aplicativos informais! PERIGOS!,/por-que-caronas-informais-podem-ser-perigosas-guanabara-explica/,1,1,1,0,1,0,1,8
Guanabara conecta você ao Universo Spanta! - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,0
Guanabara e Livelo: ganhe até 12 pontos por real gasto,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,18
Guanabara e Livelo: ganhe até 12 pontos por real gasto,/guanabara-anuncia-novos-pontos-de-embarque-no-rio-de-janeiro/,1,1,0,0,0,1,0,0
Guanabara e Livelo: ganhe até 12 pontos por real gasto,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,0
Guanabara investe R$ 60 milhões em nova frota e lança serviço Leito-Cama no Ceará! - Blog Guanabara,/guanabara-recebe-primeiros-os-onibus-de-15-metros/,1,1,0,0,0,1,0,166
Guanabara recebe primeiros os ônibus de 15 metros! - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,0
Guanabara recebe primeiros os ônibus de 15 metros! - Blog Guanabara,/guanabara-anuncia-novos-pontos-de-embarque-no-rio-de-janeiro/,1,1,0,0,0,1,0,0
Guanabara recebe primeiros os ônibus de 15 metros! - Blog Guanabara,/investimento-nova-frota-onibus-leito-cama-guanabara/,1,1,0,0,0,1,0,20
Guanabara: A empresa PÉ-QUENTE do Futebol! - Blog Guanabara,/investimento-nova-frota-onibus-leito-cama-guanabara/,1,1,0,1,0,1,0,6
Guanabara: A empresa PÉ-QUENTE do Futebol! - Blog Guanabara,/ofertas-passagens-guanabara-passagens-baratas/,1,1,0,0,0,1,0,76
Guia completo para viajar de ônibus com crianças - Blog Guanabara,/criancas-no-nordeste-ferias/,1,1,0,0,0,1,0,73
Guia completo para viajar de ônibus com crianças - Blog Guanabara,/terra-dos-dinos-miguel-pereira/,1,1,0,0,0,1,0,0
Início - Blog Guanabara,/10-curiosidades-incriveis-sobre-fortaleza/,1,1,0,0,0,1,0,8
Início - Blog Guanabara,/10-vantagens-de-se-viajar-de-onibus/,1,1,0,0,0,1,0,1
Início - Blog Guanabara,/aumente-pontos-no-viva-fidelidade/,1,1,0,0,0,1,0,10
Início - Blog Guanabara,/category/viagens/,1,1,0,0,0,1,0,14
Início - Blog Guanabara,/joias-da-casa-guanabara/,1,1,0,0,0,1,0,9
Início - Blog Guanabara,/rio-de-janeiro-o-que-fazer-e-como-chegar/,1,1,0,0,0,1,0,6
Início - Blog Guanabara,/terra-dos-dinos-miguel-pereira/,1,1,0,0,0,1,0,2
"Juazeiro do Norte: fé, cultura e tradição no coração do Cariri - Blog Guanabara",/,1,1,0,1,0,1,0,0
"Juazeiro do Norte: fé, cultura e tradição no coração do Cariri - Blog Guanabara",/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,11
"Juazeiro do Norte: fé, cultura e tradição no coração do Cariri - Blog Guanabara",/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,1,0,1,0,2
Maio Amarelo: O que é? E como isso é importante pra você! - Blog Guanabara,/,1,1,0,1,0,1,0,25
Maio Amarelo: O que é? E como isso é importante pra você! - Blog Guanabara,/10-curiosidades-incriveis-sobre-fortaleza/,1,1,0,0,0,1,0,361
Mês do Consumidor na Guanabara: até 70% OFF de desconto! - Blog Guanabara,/bora-ja-pra-teresina/,1,1,0,0,0,1,0,13
Mês do Consumidor na Guanabara: até 70% OFF de desconto! - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,0
Mês do Consumidor na Guanabara: até 70% OFF de desconto! - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,31
Mês do Consumidor na Guanabara: até 70% OFF de desconto! - Blog Guanabara,/viaje-pelo-caribe-brasileiro-de-onibus-com-a-guanabara-guia-completo/,1,1,0,0,0,1,0,13
"Na Guanabara, todo dia é Dia do Consumidor",/guanabara-dia-do-consumidor/,1,1,1,0,1,0,1,0
Novidades Guanabara: Parceria rede Accor e modalidade Cama! - Blog Guanabara,/investimento-nova-frota-onibus-leito-cama-guanabara/,1,1,0,1,0,1,0,5
O que fazer em Fortaleza - Como chegar de Guanabara - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,0
O que fazer em Natal RN: guia completo para sua viagem - Blog Guanabara,/guanabara-anuncia-novos-pontos-de-embarque-no-rio-de-janeiro/,1,1,0,0,0,1,0,202
Pega o Guanabara e vem pras 10 melhores festas juninas do Brasil,/melhores-festas-juninas/,1,1,1,0,1,1,0,19
Pega o Guanabara e vem pras 10 melhores festas juninas do Brasil,/tag/festa-junina/,1,1,0,0,0,1,0,8
Pega o Guanabara e vem... pro Zoológico de São Paulo!,/10-curiosidades-incriveis-sobre-fortaleza/,1,1,0,0,0,1,0,222
Pega o Guanabara e vem... pro Zoológico de São Paulo!,/zoologico-de-sao-paulo/,1,1,1,0,1,0,1,7
Porque você deve conhecer o Nordeste Brasileiro! - Blog Guanabara,/porque-voce-deve-conhecer-o-nordeste-brasileiro/,1,1,1,0,1,1,0,48
Quem tem direito à gratuidade para viajar de Guanabara?,/tag/gratuidade/,1,1,0,0,0,1,0,76
Rio de Janeiro: o que fazer e como chegar com a Viaje Guanabara - Blog Guanabara,/rio-de-janeiro-o-que-fazer-e-como-chegar/,1,1,1,0,1,1,0,4
Saiba como comprar passagem de ônibus da Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,14
Saiba como funciona o cancelamento e remarcação de viagens com a Guanabara - Blog Guanabara,/?s=,1,1,0,1,0,1,0,329
Saiba como funciona o cancelamento e remarcação de viagens com a Guanabara - Blog Guanabara,/passagem-de-onibus-antecipado/,1,1,0,0,0,1,0,36
"Viaje Mais, Pague Menos: Passagens Guanabara de BH, Rio e Juiz de Fora a partir de R$39,99! Blog Guanabara Viaje Mais, Pague Menos: Passagens Guanabara de BH, Rio e Juiz de Fora a partir de R$39,99! - Blog Guanabara",/investimento-nova-frota-onibus-leito-cama-guanabara/,1,1,0,1,0,1,0,11
"Viaje com a melhor do Brasil com passagens a partir de R$19,90 - Blog Guanabara",/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,0
Viaje nas férias de janeiro com cupom de 30% OFF,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,0
Você pesquisou por - Blog Guanabara,/?s=,1,1,0,1,0,1,0,0
Você pesquisou por ALAGOAS - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,7
Você pesquisou por Alterar passagem - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,7
Você pesquisou por Antecipar a passagem - Blog Guanabara,/passagem-de-onibus-antecipado/,1,1,0,0,0,1,0,25
Você pesquisou por Antecipar a viagem - Blog Guanabara,/passagem-de-onibus-antecipado/,1,1,0,0,0,1,0,5
Você pesquisou por BARREIRAS - BA - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,7
Você pesquisou por Buscar - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,3
Você pesquisou por Buscar passagem - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,6
Você pesquisou por CRIANÇA DE 10 ANOS VIAJANDO DESACOMPANHADO - Blog Guanabara,/guia-completo-para-viajar-de-onibus-com-criancas/,1,1,0,0,0,1,0,6
Você pesquisou por Cancelamento - Blog Guanabara,/?s=Cancelamento,1,1,0,1,0,0,1,0
Você pesquisou por Cancelamento - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,2,0,0,0,0.5,0.5,0
Você pesquisou por Cancelar - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,6
Você pesquisou por Como uma pessoa que tem pcd tem direito a gratuidade? - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,30
Você pesquisou por Comprar passagem - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,8
Você pesquisou por Comprar passagem - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,4
Você pesquisou por Comprar passagens - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,25
Você pesquisou por Desconto para estudante - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,8
Você pesquisou por Dia dos namorados - Blog Guanabara,/,1,1,0,0,0,1,0,28
Você pesquisou por Gratuidade - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,6
Você pesquisou por Gratuidade idoso - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,13
Você pesquisou por Id jovem - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,6
"Você pesquisou por Itarema, Ceará - Blog Guanabara",/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,2
Você pesquisou por Jijoca - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,11
Você pesquisou por João Pessoa - Blog Guanabara,/guia-completo-para-viajar-de-onibus-com-criancas/,1,1,0,0,0,1,0,12
Você pesquisou por MINHA CONTA - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,7
Você pesquisou por Macaúbas - Blog Guanabara,/investimento-nova-frota-onibus-leito-cama-guanabara/,1,1,0,0,0,1,0,12
Você pesquisou por Meus pedidos - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,3
Você pesquisou por Monteiro - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,11
Você pesquisou por Passagem - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,5
Você pesquisou por Passagem - Blog Guanabara,/desconto-guanabara-bora-ja/,1,1,0,0,0,1,0,9
Você pesquisou por Passagem de ônibus - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,8
Você pesquisou por Passagem idoso - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,5
Você pesquisou por Passagens - Página 2 de 7 - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,27
Você pesquisou por Pcd - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,8
Você pesquisou por Pedido - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,18
Você pesquisou por Regras de bagagem - Blog Guanabara,/descubra-o-futuro-do-conforto-em-viagens-com-os-novos-servicos-e-horarios-da-guanabara/,1,1,0,0,0,1,0,8
Você pesquisou por Sac - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,1
Você pesquisou por Segunda via - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,20
Você pesquisou por Shakira - Blog Guanabara,/,1,2,0,1,0,1,0,5
Você pesquisou por Sumé - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,13
Você pesquisou por Trocar passagem - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,9
Você pesquisou por Uberlandia - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,4
Você pesquisou por Valor de passagem - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,5
Você pesquisou por Viagem para Salvador dia 23l6/2026 - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,16
Você pesquisou por WhatsApp - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,16
Você pesquisou por bilhete - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,8
Você pesquisou por cancelar passagem - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,11
Você pesquisou por caribe - Blog Guanabara,/,1,1,0,1,0,1,0,63
Você pesquisou por carteirinha - Blog Guanabara,/quais-documentos-devo-levar-para-embarcar/,1,1,0,0,0,1,0,6
Você pesquisou por cin - Blog Guanabara,/quais-documentos-devo-levar-para-embarcar/,1,1,0,1,0,1,0,8
Você pesquisou por comprar passagem - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,6
Você pesquisou por criança de cinco anos paga? - Blog Guanabara,/guia-completo-para-viajar-de-onibus-com-criancas/,1,1,0,0,0,1,0,7
Você pesquisou por estudane - Blog Guanabara,/quais-documentos-devo-levar-para-embarcar/,1,1,0,0,0,1,0,3
Você pesquisou por estudante - Blog Guanabara,/quais-documentos-devo-levar-para-embarcar/,1,1,0,0,0,1,0,5
Você pesquisou por goiania campinas - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,6
Você pesquisou por id jovem - Blog Guanabara,/?s=id+jovem,1,1,0,1,0,0,1,0
Você pesquisou por maceio - Blog Guanabara,/gratuidade-viagens-de-onibus-guanabara/,1,1,0,0,0,1,0,8
Você pesquisou por passagens - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,5
Você pesquisou por pedido - Blog Guanabara,/saiba-como-funciona-o-cancelamento-e-remarcacao-de-viagens-com-a-guanabara/,1,1,0,0,0,1,0,8
Você pesquisou por viagem entre são paulo e rio de janeiro - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,17
Você pesquisou por viagem entre são paulo e rio de janeiro - Página 2 de 2 - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,22
Você pesquisou por vila velha - Blog Guanabara,/comprar-passagem-de-onibus-guanabara/,1,1,0,0,0,1,0,6
Você pesquisou por viva fidelidade - Blog Guanabara,/,1,1,0,1,0,1,0,0
Você sabia? 2 de Julho é dia da Independência da Bahia! - Blog Guanabara,/10-curiosidades-incriveis-sobre-fortaleza/,1,1,0,0,0,1,0,408
10 Curiosidades Incríveis sobre Fortaleza - Blog Guanabara,(not set),0,2,0,2,0,0,1,0
"10 Curiosidades sobre Salvador, na Bahia - Blog Guanabara",(not set),0,6,0,6,0,0,1,0
"10 fatos curiosos de Recife, Pernambuco - Blog Guanabara",(not set),0,4,0,2,0,0,1,0
17 destinos baratos para você conhecer no Nordeste brasileiro - Blog Guanabara,(not set),0,3,0,3,0,0,1,0
5 Pontos Turísticos em Belo Horizonte que Você Precisa Conhecer - Blog Guanabara,(not set),0,1,0,1,0,0,1,0
Arquivo de Gastronomia - Blog Guanabara,(not set),0,1,0,1,0,0,1,0
Arquivo de Novidades - Blog Guanabara,(not set),0,1,0,1,0,0,1,0
As 9 casas de show mais badaladas do Brasil,(not set),0,1,0,1,0,0,1,0
Avenida Paulista aos domingos: o espaço é para todos,(not set),0,6,0,5,0,0,1,0
Campina Grande: pega o Guanabara e vem pro Maior São João do Mundo,(not set),0,2,0,2,0,0,1,0
Caribe Brasileiro de Ônibus: Guia de Destinos e Passagens | Blog Viaje Guanabara,(not set),0,1,0,1,0,0,1,0
Corpus Christi é feriado ou ponto facultativo? Aproveite para viajar!,(not set),0,1,0,1,0,0,1,0
Férias chegando! O que fazer com crianças no Nordeste do Brasil?,(not set),0,1,0,1,0,1,0,7
Guanabara anuncia novos pontos de embarque no Rio de Janeiro - Blog Guanabara,(not set),0,5,0,5,0,0,1,0
Guanabara e Livelo: ganhe até 12 pontos por real gasto,(not set),0,1,0,1,0,0,1,0
Guanabara recebe primeiros os ônibus de 15 metros! - Blog Guanabara,(not set),0,1,0,1,0,0,1,0
Guanabara: A empresa PÉ-QUENTE do Futebol! - Blog Guanabara,(not set),0,1,0,1,0,0,1,0
Guia completo para viajar de ônibus com crianças - Blog Guanabara,(not set),0,11,0,8,0,0,1,0
Início - Blog Guanabara,(not set),0,4,0,3,0,0,1,0
Joias da Casa: Celebrando a dedicação e a trajetória dos colaboradores da Guanabara -,(not set),0,1,0,1,0,0,1,0
"Juazeiro do Norte: fé, cultura e tradição no coração do Cariri - Blog Guanabara",(not set),0,1,0,1,0,0,1,0
Lençóis Maranhenses se tornam Patrimônio Natural da Humanidade,(not set),0,5,0,5,0,0,1,0
Lençóis Maranhenses se tornam Patrimônio Natural da Humanidade [url=https://blog.viajeguanabara.com.br/lencois-maranhenses-patrimonio-da-humanidade/],/lencois-maranhenses-patrimonio-da-humanidade/,0,1,0,0,0,1,0,22
Maio Amarelo: O que é? E como isso é importante pra você! - Blog Guanabara,(not set),0,1,0,1,0,0,1,0
Novidades Guanabara: Parceria rede Accor e modalidade Cama! - Blog Guanabara,(not set),0,1,0,1,0,0,1,0
O que fazer com as crianças em Brasília nas férias de julho?,(not set),0,1,0,1,0,0,1,0
Quais documentos devo levar para embarcar? - Blog Guanabara,(not set),0,2,0,2,0,0,1,0
Quais os melhores pontos turísticos do Nordeste - Blog Guanabara,(not set),0,1,0,1,0,0,1,0
Quem tem direito à gratuidade para viajar de Guanabara?,(not set),0,28,0,24,0,0.03571428571428571,0.9642857142857143,1.25
Restaurantes românticos em Fortaleza - Blog Guanabara,(not set),0,2,0,1,0,0,1,0
Saiba como comprar passagem de ônibus da Guanabara,(not set),0,5,0,5,0,0,1,0
Saiba como comprar passagem de ônibus da Guanabara,/category/destinos/,0,1,0,1,0,1,0,2
Saiba como funciona o cancelamento e remarcação de viagens com a Guanabara - Blog Guanabara,(not set),0,61,0,46,0,0,1,3.1956521739130435
"Terra dos Dinos Miguel Pereira: horários, como chegar de ônibus",(not set),0,1,0,1,0,0,1,0
Você pesquisou por Largo do machado - Blog Guanabara,/guanabara-anuncia-novos-pontos-de-embarque-no-rio-de-janeiro/,0,1,0,0,0,1,0,0
Você pesquisou por viva fidelidade - Blog Guanabara,(not set),0,1,0,1,0,0,1,0
Você sabia? 2 de Julho é dia da Independência da Bahia! - Blog Guanabara,(not set),0,1,0,1,0,0,1,3
